Meme ID,Template Name,Original (English),Translation
166,scumbag catholic priest,Avoids meat as a sacrifice during Holy week <sep> Eats seafood that taste better than meat,Avoids meat as a sacrifice during Holy week <sep> Eats seafood that taste better than meat
9,american pride eagle,"Support Our Troops, Motherfucker! <sep> Or we'll lock your ass up for tax evasion!!!","Support Our Troops, Motherfucker! <sep> Or we'll lock your ass up for tax evasion!!!"
82,y u so arab,Hey syrian guy <sep> y u post a picture of me but not a picture of you?,Hey syrian guy <sep> y u post a picture of me but not a picture of you?
77,like a jew,I'll give you a hint <sep> The matzah is in my pants,I'll give you a hint <sep> The matzah is in my pants
168,mexicanotriste,the look on our faces <sep> when mr.mwai stole another lesson,the look on our faces <sep> when mr.mwai stole another lesson
79,stern but honest chinese guy,COMMUNISM <sep> UNABLE TO ACHIEVE DREAMS - BEING BORN IN THE WRONG FAMILY,COMMUNISM <sep> UNABLE TO ACHIEVE DREAMS - BEING BORN IN THE WRONG FAMILY
111,bad advice asian,bring your dog <sep> we have chicken?,bring your dog <sep> we have chicken?
20,successful mexican,MINORITY <sep> NOT AT METRO TECH!!,MINORITY <sep> NOT AT METRO TECH!!
35,generic indian guy,QUICK GIVE ME SOME <sep> CURRY!!!,QUICK GIVE ME SOME <sep> CURRY!!!
274,jesus christ,liberals <sep> bigger losers than cnn's tv ratings,liberals <sep> bigger losers than cnn's tv ratings
248,scumbag catholic priest,Catholic church <sep> protecting pedo priests for 500 years,Catholic church <sep> protecting pedo priests for 500 years
260,mexicans on a truck,Headed to your house Cesar.. <sep> HAPPY BIRTHDAY HOMIE!!!,Headed to your house Cesar.. <sep> HAPPY BIRTHDAY HOMIE!!!
81,stereotypical indian telemarketer,"technical support, <sep> this is karan speaking","technical support, <sep> this is karan speaking"
282,policeman,Freeze! You're under arrest <sep> For producing non accessible material,Freeze! You're under arrest <sep> For producing non accessible material
4,skeptical black kid,so you felt depressed <sep> because you were too fat?,so you felt depressed <sep> because you were too fat?
256,white power problems,Aryan <sep> Never celebrated Nowruz,Aryan <sep> Never celebrated Nowruz
93,nice white girl,but jennifer lawrence was <sep> such a great katniss!,but jennifer lawrence was <sep> such a great katniss!
33,generic indian guy,SHUT UP OSAMA! <sep> HE IS MY SON!,SHUT UP OSAMA! <sep> HE IS MY SON!
266,good chinese student,chinese students <sep> they are everywhere,chinese students <sep> they are everywhere
226,arabic meme,Reeks of curry <sep> ,Reeks of curry <sep> 
188,indian father,If at first you don't succeed <sep> Don't come home,If at first you don't succeed <sep> Don't come home
209,white power problems,this man <sep> does not own a mirror,this man <sep> does not own a mirror
153,privilege denying feminist,if a man is raped <sep> his body can shut that thing down,if a man is raped <sep> his body can shut that thing down
195,oppressive trans bro,When I Grow Up <sep> I want to be a drag queen,When I Grow Up <sep> I want to be a drag queen
43,like a jew,have a shitty name <sep> like a jew,have a shitty name <sep> like a jew
287,angry muslim guy,When you realize <sep> That was you car,When you realize <sep> That was you car
124,sassy black woman,SHUT YOUR <sep> MOUTH,SHUT YOUR <sep> MOUTH
71,stereotypical indian telemarketer,invites friend to a game night <sep> starts playing single player,invites friend to a game night <sep> starts playing single player
144,troll asian,Says he cant play a game <sep> Asian,Says he cant play a game <sep> Asian
230,arabic meme,"whats for dinner? goat? <sep> wait, where's my wife???","whats for dinner? goat? <sep> wait, where's my wife???"
32,generic indian guy,STANLEY I COULD EAT YOU FOR BREAKFAST <sep> LUNCH AND DINNER,STANLEY I COULD EAT YOU FOR BREAKFAST <sep> LUNCH AND DINNER
243,angry muslim guy,Happy <sep> New year!!!,Happy <sep> New year!!!
173,like a jew,can't watch porn <sep> bans the internet,can't watch porn <sep> bans the internet
159,stern but honest chinese guy,America hates communism so much <sep> that it has borrowed 2 trillion from china,America hates communism so much <sep> that it has borrowed 2 trillion from china
7,skeptical black kid,so you're telling me <sep> you already adjusted our grades,so you're telling me <sep> you already adjusted our grades
196,y u so arab,I heard there is a hijack <sep> am i too late?,I heard there is a hijack <sep> am i too late?
212,typical germany lover,KEEP CALM AND <sep> WATCH GERMANY WIN!!,KEEP CALM AND <sep> WATCH GERMANY WIN!!
59,asian college freshman, <sep> I don't see a problem here, <sep> I don't see a problem here
80,stern but honest chinese guy,MAO OUR GREAT HERO <sep> KILLED 40-70 MILLION OF HIS OWN PEOPLE,MAO OUR GREAT HERO <sep> KILLED 40-70 MILLION OF HIS OWN PEOPLE
102,mexicanotriste,Did manual labor today <sep> Reminded me of you.,Did manual labor today <sep> Reminded me of you.
30,generic indian guy,jason needs some brownie mix <sep> steven never texted him,jason needs some brownie mix <sep> steven never texted him
21,successful mexican,My name is emmanuel <sep> i mow your lawn $.50,My name is emmanuel <sep> i mow your lawn $.50
170,bad advice asian,you never see <sep> stray cat in chinatown,you never see <sep> stray cat in chinatown
18,successful mexican,I come to <sep> tend your garden,I come to <sep> tend your garden
40,stereotypical indian telemarketer,"I do have your customer on the other line... <sep> Thank you for patiently holding, mr. derp","I do have your customer on the other line... <sep> Thank you for patiently holding, mr. derp"
197,scumbag police officer,"I know the lay better then you <sep> ""now bend over""","I know the lay better then you <sep> ""now bend over"""
104,success germany,lend greece own taxpayer money <sep> STILL GET CALLED A NAZI,lend greece own taxpayer money <sep> STILL GET CALLED A NAZI
139,feminist cunt,Sexually harassed by group of black guys <sep> blames the white male patriarchy,Sexually harassed by group of black guys <sep> blames the white male patriarchy
148,jewish dude,have you ever been <sep> with a jew?,have you ever been <sep> with a jew?
108,strict policeman,fun police <sep> be friends and kiss,fun police <sep> be friends and kiss
161,transvestite trevor,TOMMY. <sep> ON SATURDAYS,TOMMY. <sep> ON SATURDAYS
176,germany pls,Interviewer has weak handshake <sep> Not sure what to do,Interviewer has weak handshake <sep> Not sure what to do
154,jesus christ,no where in the bible was there any homosexuality <sep> god does not support gays in the slighest,no where in the bible was there any homosexuality <sep> god does not support gays in the slighest
38,advicejew,Call your mother <sep> so she can complain about your lack of calls,Call your mother <sep> so she can complain about your lack of calls
119,white power problems,THINKS JUDAISM <sep> IS A RACE,THINKS JUDAISM <sep> IS A RACE
169,condescending christian,muslims are bad <sep> because the bible is good,muslims are bad <sep> because the bible is good
162,privilege denying feminist,porn is disgusting and sexist <sep> so the stuff I like isn't porn,porn is disgusting and sexist <sep> so the stuff I like isn't porn
193,privilege denying feminist,A man had some sort of emotion? <sep> time to belittle it and declare it misogynist,A man had some sort of emotion? <sep> time to belittle it and declare it misogynist
292,nia china,I am the king of china <sep> Inventer of vagina,I am the king of china <sep> Inventer of vagina
99,condescending christian,"I respect your views <sep> ""want to come to my youth group?""","I respect your views <sep> ""want to come to my youth group?"""
269,muslim immigrant,just in time <sep> for new year in cologne,just in time <sep> for new year in cologne
175,sassy black woman,"Gets monthly food stamps from state, <sep> spends them on $10.99 a pound steaks","Gets monthly food stamps from state, <sep> spends them on $10.99 a pound steaks"
113,stern but honest chinese guy,You are good at the olympics <sep> but terrible at money management.,You are good at the olympics <sep> but terrible at money management.
203,muslim immigrant,africa for the africans asia for the asians <sep> white countries for everyone !,africa for the africans asia for the asians <sep> white countries for everyone !
278,feminist cunt,you're recording <sep> you better not put this on youtube,you're recording <sep> you better not put this on youtube
134,american flag shotgun guy,ON THE SEVENTH DAY <sep> GOD CREATED THE RIFLE,ON THE SEVENTH DAY <sep> GOD CREATED THE RIFLE
135,bad advice asian,one kilo of chicken wings. <sep> ,one kilo of chicken wings. <sep> 
42,angry muslim guy,stop! <sep> my beard tickles!,stop! <sep> my beard tickles!
251,arabic meme,How exciting I just met <sep> Our 12 year old daughter's husband to be,How exciting I just met <sep> Our 12 year old daughter's husband to be
245,oppressive trans bro,I got raped and got pregnant <sep> but i identify as male so its allright... also charmingly excentric,I got raped and got pregnant <sep> but i identify as male so its allright... also charmingly excentric
89,strict policeman,i hate black people <sep> thats why i got a job with a gun,i hate black people <sep> thats why i got a job with a gun
295,nia china,When your girlfriend knows your cycle <sep> and brings you a cooling kit,When your girlfriend knows your cycle <sep> and brings you a cooling kit
238,mexicans on a truck,Jose's family <sep> Going on a trip,Jose's family <sep> Going on a trip
164,privilege denying feminist,women are an oppressed minority <sep> asians are not,women are an oppressed minority <sep> asians are not
90,troll asian,one does not simply <sep> press the toilet flush,one does not simply <sep> press the toilet flush
69,troll asian,EXpected by group members to do majority of work <sep> doesn't do anything,EXpected by group members to do majority of work <sep> doesn't do anything
218,richarabclap,i'm so happy we have kids <sep> to blow up,i'm so happy we have kids <sep> to blow up
288,jesus christ,it looks like <sep> my presence is required here,it looks like <sep> my presence is required here
179,indian father,ME <sep> 30 YEARS FROM NOW?,ME <sep> 30 YEARS FROM NOW?
298,muslim immigrant,when the bomb goes off too early <sep> ALLAH YOU CUNTTTTT,when the bomb goes off too early <sep> ALLAH YOU CUNTTTTT
138,american flag shotgun guy,SOUTH WILL <sep> RISE AGAIN,SOUTH WILL <sep> RISE AGAIN
180,angry muslim guy,SEES UNACCEPTABLE MUSLIM MEME <sep> WISHES THEY COULD PROVIDE A BETTER MEME IN RESPONSE,SEES UNACCEPTABLE MUSLIM MEME <sep> WISHES THEY COULD PROVIDE A BETTER MEME IN RESPONSE
242,scumbag catholic priest, <sep> it's not inappropriate when I touch you there, <sep> it's not inappropriate when I touch you there
118,obese american,Are you going to <sep> eat that flag?,Are you going to <sep> eat that flag?
103,jesus christ,yolo? <sep> never heard of it,yolo? <sep> never heard of it
39,jesus christ,I don't have the answers to everything. <sep> Ask google.,I don't have the answers to everything. <sep> Ask google.
182,richarabclap,lets stop sending money to foreigners <sep> and use that money to send every american to yale,lets stop sending money to foreigners <sep> and use that money to send every american to yale
156,y u so arab,ARAB FRIEND <sep> CHRIS,ARAB FRIEND <sep> CHRIS
101,stern but honest chinese guy,I say i'm good at handball <sep> But when i tried out for the team i didn't make it,I say i'm good at handball <sep> But when i tried out for the team i didn't make it
233,jewish dude,you shall not <sep> access your favorite websites,you shall not <sep> access your favorite websites
70,obese american,jogs for exercise... <sep> from her bed to the fridge,jogs for exercise... <sep> from her bed to the fridge
211,feministfrequently,Complains that women are underrepresented in STEM fields <sep> Gets a degree in women's studies,Complains that women are underrepresented in STEM fields <sep> Gets a degree in women's studies
219,feministfrequently,Be angry on the internet! <sep> It will change things in real life!,Be angry on the internet! <sep> It will change things in real life!
84,nice white girl,but my dreamcatcher tattoo <sep> honors native culture!,but my dreamcatcher tattoo <sep> honors native culture!
83,nice white girl,why can't i <sep> use the n word?,why can't i <sep> use the n word?
215,white power problems,has difficulty finding work in retail <sep> blames reverse discrimination,has difficulty finding work in retail <sep> blames reverse discrimination
64,asian college freshman,father says to marry his 3rd cousine <sep> actually does it,father says to marry his 3rd cousine <sep> actually does it
237,scumbag police officer,Join the police force! <sep> Kill unarmed kids and get paid vacations!,Join the police force! <sep> Kill unarmed kids and get paid vacations!
86,privilege denying tranny,HAS to put up with unfunny memes <sep> ridiculing her gender identity,HAS to put up with unfunny memes <sep> ridiculing her gender identity
160,bad advice asian,"look at this... <sep> the moon, not my finger","look at this... <sep> the moon, not my finger"
240,richarabclap,Let's become one... <sep> One israel,Let's become one... <sep> One israel
276,policeman,"Actually, Facebook does <sep> Have rules on grammar...","Actually, Facebook does <sep> Have rules on grammar..."
187,arabic meme,5 goats and 2 cows.. <sep> I have many sons.,5 goats and 2 cows.. <sep> I have many sons.
61,troll asian,how you doing? <sep> ,how you doing? <sep> 
96,feminist cunt,"i hate men! <sep> GOD, i NEED A GUY'S COCK RIGHT NOW...","i hate men! <sep> GOD, i NEED A GUY'S COCK RIGHT NOW..."
174,germany pls,showed this blog to my non-german friends <sep> they don't get it,showed this blog to my non-german friends <sep> they don't get it
1,skeptical black kid,Hmmm... <sep> Fried chicken you say,Hmmm... <sep> Fried chicken you say
208,scumbag police officer,tough drugs laws aren't working <sep> so it only makes sense if we make the laws TOUGHER,tough drugs laws aren't working <sep> so it only makes sense if we make the laws TOUGHER
157,white power problems,I ASKED A JEWISH GIRL FOR HER NUMBER <sep> SHE ROLLED UP HER SLEEVES,I ASKED A JEWISH GIRL FOR HER NUMBER <sep> SHE ROLLED UP HER SLEEVES
107,strict policeman,i dont always beat teenagers <sep> but when i do my FAVORITEs are ones named mike manol,i dont always beat teenagers <sep> but when i do my FAVORITEs are ones named mike manol
54,privilege denying tranny,the birth of the baby jesus was a queer party <sep> all the dudes wore dresses!,the birth of the baby jesus was a queer party <sep> all the dudes wore dresses!
95,success germany,How to get France and England mad at you <sep> in two easy steps,How to get France and England mad at you <sep> in two easy steps
57,stereotypical indian telemarketer,call help desk <sep> can't understand them,call help desk <sep> can't understand them
5,skeptical black kid,so your telling me <sep> the egyptians just left,so your telling me <sep> the egyptians just left
133,privilege abusing white couple,trouble making the mortgage payment <sep> i left my checkbook at home,trouble making the mortgage payment <sep> i left my checkbook at home
24,black kid,MITT ROMNEY <sep> IS GAY,MITT ROMNEY <sep> IS GAY
2,skeptical black kid,So if i treat women like shit <sep> i will do better with them? Cool!,So if i treat women like shit <sep> i will do better with them? Cool!
281,angry muslim guy,hates british <sep> moves to london,hates british <sep> moves to london
16,sassy black woman,"<emp> <sep> SON, WHY DIDN'T YOU STEAL THAT?","<emp> <sep> SON, WHY DIDN'T YOU STEAL THAT?"
253,mexicans on a truck,we have to get across the border <sep> in time for the 2016 election,we have to get across the border <sep> in time for the 2016 election
28,black kid,OLD PIC OF JAY-Z <sep> <emp>,OLD PIC OF JAY-Z <sep> <emp>
244,feminist cunt,I want full equality in physically tough jobs <sep> Women should have easier physical tests,I want full equality in physically tough jobs <sep> Women should have easier physical tests
85,nice white girl,stop being mean to me <sep> i'm trying really hard,stop being mean to me <sep> i'm trying really hard
50,feminist cunt,Equality for women!!! <sep> laughs at other feminists who think that men deserve the same,Equality for women!!! <sep> laughs at other feminists who think that men deserve the same
217,american flag shotgun guy,THE UNIVERSE <sep> DOES NOT EXIST,THE UNIVERSE <sep> DOES NOT EXIST
231,y u so arab,women <sep> why do you not stop trying to drive?!,women <sep> why do you not stop trying to drive?!
296,nia china,Being a nice person <sep> Does not mean being stupid,Being a nice person <sep> Does not mean being stupid
272,nia china,KEEP CALM <sep> AND PENETRATE CHINA!,KEEP CALM <sep> AND PENETRATE CHINA!
51,jewish dude,I Got Punched In The Face At A bar mitzvah <sep> BY MY COUSIN WHOSE bar mitzvah IT WAS,I Got Punched In The Face At A bar mitzvah <sep> BY MY COUSIN WHOSE bar mitzvah IT WAS
0,skeptical black kid,So You're telling me <sep> You eat too much and you want to lose weight?,So You're telling me <sep> You eat too much and you want to lose weight?
273,transvestite trevor,I'm looking for Nikhil <sep> Can you find him please,I'm looking for Nikhil <sep> Can you find him please
128,germany pls,"speak a language considered good for swearing in <sep> everyone says ""fuck""","speak a language considered good for swearing in <sep> everyone says ""fuck"""
152,muslim immigrant,but i said alvin is like my brother <sep> you must accept me,but i said alvin is like my brother <sep> you must accept me
112,like a jew,"cashier says ""merry christmas"" <sep> demands multiculturalism","cashier says ""merry christmas"" <sep> demands multiculturalism"
222,advicejew,you pay taxes <sep> because of us,you pay taxes <sep> because of us
11,american pride eagle,a promise to me <sep> was broken,a promise to me <sep> was broken
23,black kid,MY MOM NAMED ME <sep> PRINCESS.,MY MOM NAMED ME <sep> PRINCESS.
254,arabic meme,Do I got something in my teeth <sep> ,Do I got something in my teeth <sep> 
143,mexicanotriste,MADE IT THROUGH THE ANGLESEY BORDER <sep> NOT BAD,MADE IT THROUGH THE ANGLESEY BORDER <sep> NOT BAD
72,strict policeman,studies criminal justice <sep> police academy teaches him everything,studies criminal justice <sep> police academy teaches him everything
158,muslim immigrant,LET US IN THEY SAID <sep> WE'LL BE NICE THEY SAID,LET US IN THEY SAID <sep> WE'LL BE NICE THEY SAID
141,white power problems,"wants to defend ""white tradition"" <sep> lives in NY and eats at mcdonalds","wants to defend ""white tradition"" <sep> lives in NY and eats at mcdonalds"
25,black kid,IT DONT MATTER <sep> IF YOUR BLACK OR WHITE!,IT DONT MATTER <sep> IF YOUR BLACK OR WHITE!
117,stern but honest chinese guy,Brainwashing caused all our problems <sep> so we need more brainwashing,Brainwashing caused all our problems <sep> so we need more brainwashing
284,obese american,hates big government <sep> gets social security,hates big government <sep> gets social security
267,policeman,If you don't want to be shot by police <sep> Have you tried not attacking them?,If you don't want to be shot by police <sep> Have you tried not attacking them?
22,black kid,GIRLS THINK I'M SEXY <sep> <emp>,GIRLS THINK I'M SEXY <sep> <emp>
129,obese american,"If you just work hard, you'll succeed! <sep> works 70 hour weeks, lives in a trailer","If you just work hard, you'll succeed! <sep> works 70 hour weeks, lives in a trailer"
151,strict policeman,calls you a pedophile <sep> trades child porn on the internet,calls you a pedophile <sep> trades child porn on the internet
286,privilege abusing white couple,Wedding day <sep> This Friday,Wedding day <sep> This Friday
142,american flag shotgun guy,They Took <sep> our jobs!!!,They Took <sep> our jobs!!!
277,mexicanotriste,"Obama lied to me <sep> Said I could vote, but now I go to jail","Obama lied to me <sep> Said I could vote, but now I go to jail"
88,nice white girl,why are black girls <sep> so loud?,why are black girls <sep> so loud?
136,privilege abusing white couple,Asian dressed in black <sep> Are you a ninja?,Asian dressed in black <sep> Are you a ninja?
163,success germany,zero tolerance on <sep> douche bags,zero tolerance on <sep> douche bags
232,richarabclap,Akhmed El Codoor <sep> Approves this Picture,Akhmed El Codoor <sep> Approves this Picture
184,typical germany lover,Germany! <sep> always fun to watch,Germany! <sep> always fun to watch
239,scumbag police officer,I couldn't but help notice you have a brake light out <sep> ,I couldn't but help notice you have a brake light out <sep> 
223,confused muslim girl,Complain about the system <sep> Doesn't cooperate in order to receive benefits,Complain about the system <sep> Doesn't cooperate in order to receive benefits
246,typical germany lover,Is stopped twice from taking over Europe <sep> now controls the Euro-Zone,Is stopped twice from taking over Europe <sep> now controls the Euro-Zone
279,angry muslim guy,Oh SO That's what <sep> A Woman's Ears Look like,Oh SO That's what <sep> A Woman's Ears Look like
48,privilege denying feminist,wants Everything Equal <sep> Except for when the military draft comes,wants Everything Equal <sep> Except for when the military draft comes
76,muslim immigrant,how can we pray <sep> when the koran is burning,how can we pray <sep> when the koran is burning
264,typical germany lover,Susanne Lang <sep> Probably the best Technical translator in Germany,Susanne Lang <sep> Probably the best Technical translator in Germany
91,typical germany lover,fucked the world twice <sep> complains about immigrants,fucked the world twice <sep> complains about immigrants
198,oppressive trans bro,Won't get gender legally changed <sep> because he doesn't want to go to a men's prison,Won't get gender legally changed <sep> because he doesn't want to go to a men's prison
149,condescending christian,gets molested by church members <sep> still loves to go to church,gets molested by church members <sep> still loves to go to church
177,jewish dude,want to come <sep> with?,want to come <sep> with?
65,asian college freshman,Has a lockeroom <sep> needs no keys to open it,Has a lockeroom <sep> needs no keys to open it
297,feministfrequently,When you finally realize <sep> you need more t-shirts,When you finally realize <sep> you need more t-shirts
131,privilege abusing white couple,minority children deserve to be admitted <sep> into the best trade schools,minority children deserve to be admitted <sep> into the best trade schools
