Meme ID,prompt,response,answer,hate_prediction
memes\zh\American-Flag-Shotgun-Guy\137,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\137,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\138,0,e: Assistant:a: Hate,a,1
memes\zh\American-Flag-Shotgun-Guy\138,1,e: Assistant:b: Hate,b,1
memes\zh\American-Flag-Shotgun-Guy\138,2,on.Meme: Assistant:a,a,1
memes\zh\American-Flag-Shotgun-Guy\138,3,on.Meme: Assistant:b,b,1
memes\zh\American-Flag-Shotgun-Guy\138,4,ly.Meme: Assistant:a,a,1
memes\zh\American-Flag-Shotgun-Guy\138,5,ly.Meme: Assistant:b,b,1
memes\zh\American-Flag-Shotgun-Guy\142,0, b.Meme: Assistant:a,a,1
memes\zh\American-Flag-Shotgun-Guy\142,1,ssistant:a: Non-hate,a,0
memes\zh\American-Flag-Shotgun-Guy\142,2,on.Meme: Assistant:a,a,1
memes\zh\American-Flag-Shotgun-Guy\142,3,on.Meme: Assistant:b,b,1
memes\zh\American-Flag-Shotgun-Guy\142,4,ly.Meme: Assistant:a,a,1
memes\zh\American-Flag-Shotgun-Guy\142,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\217,0,ssistant:b: Non-hate,b,0
memes\zh\American-Flag-Shotgun-Guy\217,1, b.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\217,2,on.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\217,3,on.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\217,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\217,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\257,0,ssistant:b: Non-hate,b,0
memes\zh\American-Flag-Shotgun-Guy\257,1, b.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\257,2,on.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\257,3,on.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\257,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\257,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\261,0,ssistant:b: Non-hate,b,0
memes\zh\American-Flag-Shotgun-Guy\261,1, b.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\261,2,on.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\261,3,on.Meme: Assistant:a,a,0
memes\zh\American-Flag-Shotgun-Guy\261,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Flag-Shotgun-Guy\261,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\10,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\10,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\10,2,on.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\10,3,on.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\10,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\10,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\11,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\11,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\11,2,on.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\11,3,on.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\11,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\11,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\12,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\12,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\12,2,on.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\12,3,on.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\12,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\12,5,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\13,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\13,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\13,2,on.Meme: Assistant:a,a,1
memes\zh\American-Pride-Eagle\13,3,on.Meme: Assistant:b,b,1
memes\zh\American-Pride-Eagle\13,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\13,5,ly.Meme: Assistant:b,b,1
memes\zh\American-Pride-Eagle\8,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\8,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\8,2,on.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\8,3,on.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\8,4,ly.Meme: Assistant:b,b,0
memes\zh\American-Pride-Eagle\8,5,ly.Meme: Assistant:a,a,0
memes\zh\American-Pride-Eagle\9,0,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\9,1,ssistant:a: Non-hate,a,0
memes\zh\American-Pride-Eagle\9,2,on.Meme: Assistant:a,a,1
memes\zh\American-Pride-Eagle\9,3,on.Meme: Assistant:b,b,1
memes\zh\American-Pride-Eagle\9,4,ssistant:b: Non-hate,b,0
memes\zh\American-Pride-Eagle\9,5,ly.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\180,0,e: Assistant:a: Hate,a,1
memes\zh\Angry-Muslim-Guy\180,1,e: Assistant:b: Hate,b,1
memes\zh\Angry-Muslim-Guy\180,2,on.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\180,3,on.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\180,4,ly.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\180,5,ly.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\243,0,ssistant:b: Non-hate,b,0
memes\zh\Angry-Muslim-Guy\243,1, b.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\243,2,on.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\243,3,on.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\243,4,ly.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\243,5,ly.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\279,0,e: Assistant:a: Hate,a,1
memes\zh\Angry-Muslim-Guy\279,1,e: Assistant:b: Hate,b,1
memes\zh\Angry-Muslim-Guy\279,2,on.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\279,3,on.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\279,4,ly.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\279,5,ly.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\281,0,e: Assistant:a: Hate,a,1
memes\zh\Angry-Muslim-Guy\281,1,e: Assistant:b: Hate,b,1
memes\zh\Angry-Muslim-Guy\281,2,on.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\281,3,on.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\281,4,ly.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\281,5,ly.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\287,0,ssistant:b: Non-hate,b,0
memes\zh\Angry-Muslim-Guy\287,1,ssistant:a: Non-hate,a,0
memes\zh\Angry-Muslim-Guy\287,2,on.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\287,3,on.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\287,4,ly.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\287,5,ly.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\289,0, b.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\289,1, b.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\289,2,on.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\289,3,on.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\289,4,ly.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\289,5,ly.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\42,0,ssistant:b: Non-hate,b,0
memes\zh\Angry-Muslim-Guy\42,1,ssistant:a: Non-hate,a,0
memes\zh\Angry-Muslim-Guy\42,2,on.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\42,3,on.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\42,4,ly.Meme: Assistant:b,b,0
memes\zh\Angry-Muslim-Guy\42,5,ly.Meme: Assistant:a,a,0
memes\zh\Angry-Muslim-Guy\46,0, b.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\46,1,e: Assistant:b: Hate,b,1
memes\zh\Angry-Muslim-Guy\46,2,on.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\46,3,on.Meme: Assistant:b,b,1
memes\zh\Angry-Muslim-Guy\46,4,ly.Meme: Assistant:a,a,1
memes\zh\Angry-Muslim-Guy\46,5,ly.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\187,0, b.Meme: Assistant:b,b,0
memes\zh\Arabic-Meme\187,1,e: Assistant:b: Hate,b,1
memes\zh\Arabic-Meme\187,2,on.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\187,3,on.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\187,4,ly.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\187,5,ly.Meme: Assistant:a,a,0
memes\zh\Arabic-Meme\199,0,e: Assistant:a: Hate,a,1
memes\zh\Arabic-Meme\199,1,e: Assistant:b: Hate,b,1
memes\zh\Arabic-Meme\199,2,on.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\199,3,on.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\199,4,ly.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\199,5,ly.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\226,0,e: Assistant:a: Hate,a,1
memes\zh\Arabic-Meme\226,1,e: Assistant:b: Hate,b,1
memes\zh\Arabic-Meme\226,2,on.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\226,3,on.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\226,4,ly.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\226,5,ly.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\230,0, b.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\230,1,e: Assistant:b: Hate,b,1
memes\zh\Arabic-Meme\230,2,on.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\230,3,on.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\230,4,ly.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\230,5,ly.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\251,0, b.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\251,1,e: Assistant:b: Hate,b,1
memes\zh\Arabic-Meme\251,2,on.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\251,3,on.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\251,4,ly.Meme: Assistant:a,a,1
memes\zh\Arabic-Meme\251,5,ly.Meme: Assistant:b,b,1
memes\zh\Arabic-Meme\254,0,ssistant:b: Non-hate,b,0
memes\zh\Arabic-Meme\254,1,ssistant:a: Non-hate,a,0
memes\zh\Arabic-Meme\254,2,on.Meme: Assistant:b,b,0
memes\zh\Arabic-Meme\254,3,on.Meme: Assistant:a,a,0
memes\zh\Arabic-Meme\254,4,ly.Meme: Assistant:b,b,0
memes\zh\Arabic-Meme\254,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\49,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\49,1, b.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\49,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\49,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\49,4,ly.Meme: Assistant:a,a,1
memes\zh\Asian-College-Freshman\49,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\59,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\59,1, b.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\59,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\59,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\59,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\59,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\60,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\60,1,ssistant:a: Non-hate,a,0
memes\zh\Asian-College-Freshman\60,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\60,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\60,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\60,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\64,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\64,1,ssistant:a: Non-hate,a,0
memes\zh\Asian-College-Freshman\64,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\64,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\64,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\64,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\65,0, b.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\65,1, b.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\65,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\65,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\65,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\65,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\68,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\68,1,ssistant:a: Non-hate,a,0
memes\zh\Asian-College-Freshman\68,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\68,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\68,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\68,5,ly.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\94,0,ssistant:b: Non-hate,b,0
memes\zh\Asian-College-Freshman\94,1, b.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\94,2,on.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\94,3,on.Meme: Assistant:a,a,0
memes\zh\Asian-College-Freshman\94,4,ly.Meme: Assistant:b,b,0
memes\zh\Asian-College-Freshman\94,5,ly.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\111,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\111,1, b.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\111,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\111,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\111,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\111,5,ly.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\135,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\135,1,ssistant:a: Non-hate,a,0
memes\zh\Bad-Advice-Asian\135,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\135,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\135,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\135,5,ly.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\160,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\160,1,ssistant:a: Non-hate,a,0
memes\zh\Bad-Advice-Asian\160,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\160,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\160,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\160,5,ly.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\167,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\167,1,ssistant:a: Non-hate,a,0
memes\zh\Bad-Advice-Asian\167,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\167,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\167,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\167,5,ly.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\170,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\170,1, b.Meme: Assistant:b,b,1
memes\zh\Bad-Advice-Asian\170,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\170,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\170,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\170,5,ly.Meme: Assistant:b,b,1
memes\zh\Bad-Advice-Asian\201,0,ssistant:b: Non-hate,b,0
memes\zh\Bad-Advice-Asian\201,1,ssistant:a: Non-hate,a,0
memes\zh\Bad-Advice-Asian\201,2,on.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\201,3,on.Meme: Assistant:a,a,0
memes\zh\Bad-Advice-Asian\201,4,ly.Meme: Assistant:b,b,0
memes\zh\Bad-Advice-Asian\201,5,ly.Meme: Assistant:a,a,0
memes\zh\Black-Kid\22,0,e: Assistant:a: Hate,a,1
memes\zh\Black-Kid\22,1, b.Meme: Assistant:a,a,0
memes\zh\Black-Kid\22,2,on.Meme: Assistant:a,a,1
memes\zh\Black-Kid\22,3,on.Meme: Assistant:b,b,1
memes\zh\Black-Kid\22,4,ly.Meme: Assistant:a,a,1
memes\zh\Black-Kid\22,5,ly.Meme: Assistant:b,b,1
memes\zh\Black-Kid\23,0, b.Meme: Assistant:a,a,1
memes\zh\Black-Kid\23,1, b.Meme: Assistant:b,b,1
memes\zh\Black-Kid\23,2,on.Meme: Assistant:a,a,1
memes\zh\Black-Kid\23,3,on.Meme: Assistant:b,b,1
memes\zh\Black-Kid\23,4,ly.Meme: Assistant:a,a,1
memes\zh\Black-Kid\23,5,ly.Meme: Assistant:b,b,1
memes\zh\Black-Kid\24,0, b.Meme: Assistant:a,a,1
memes\zh\Black-Kid\24,1,e: Assistant:b: Hate,b,1
memes\zh\Black-Kid\24,2,on.Meme: Assistant:a,a,1
memes\zh\Black-Kid\24,3,on.Meme: Assistant:b,b,1
memes\zh\Black-Kid\24,4,ly.Meme: Assistant:a,a,1
memes\zh\Black-Kid\24,5,ly.Meme: Assistant:b,b,1
memes\zh\Black-Kid\25,0,ssistant:b: Non-hate,b,0
memes\zh\Black-Kid\25,1, b.Meme: Assistant:a,a,0
memes\zh\Black-Kid\25,2,on.Meme: Assistant:b,b,0
memes\zh\Black-Kid\25,3,on.Meme: Assistant:a,a,0
memes\zh\Black-Kid\25,4,ly.Meme: Assistant:b,b,0
memes\zh\Black-Kid\25,5,ly.Meme: Assistant:a,a,0
memes\zh\Black-Kid\26,0, b.Meme: Assistant:b,b,0
memes\zh\Black-Kid\26,1,ssistant:a: Non-hate,a,0
memes\zh\Black-Kid\26,2,on.Meme: Assistant:b,b,0
memes\zh\Black-Kid\26,3,on.Meme: Assistant:a,a,0
memes\zh\Black-Kid\26,4,ly.Meme: Assistant:b,b,0
memes\zh\Black-Kid\26,5,ly.Meme: Assistant:a,a,0
memes\zh\Black-Kid\27,0,ssistant:b: Non-hate,b,0
memes\zh\Black-Kid\27,1, b.Meme: Assistant:a,a,0
memes\zh\Black-Kid\27,2,on.Meme: Assistant:b,b,0
memes\zh\Black-Kid\27,3,on.Meme: Assistant:a,a,0
memes\zh\Black-Kid\27,4,ly.Meme: Assistant:b,b,0
memes\zh\Black-Kid\27,5,ly.Meme: Assistant:a,a,0
memes\zh\Black-Kid\28,0, b.Meme: Assistant:a,a,1
memes\zh\Black-Kid\28,1,e: Assistant:b: Hate,b,1
memes\zh\Black-Kid\28,2,on.Meme: Assistant:a,a,1
memes\zh\Black-Kid\28,3,on.Meme: Assistant:b,b,1
memes\zh\Black-Kid\28,4,ly.Meme: Assistant:a,a,1
memes\zh\Black-Kid\28,5,ly.Meme: Assistant:b,b,1
memes\zh\Condescending-Christian\120,0,ssistant:b: Non-hate,b,0
memes\zh\Condescending-Christian\120,1,ssistant:a: Non-hate,a,0
memes\zh\Condescending-Christian\120,2,on.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\120,3,on.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\120,4,ly.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\120,5,ly.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\140,0,ssistant:b: Non-hate,b,0
memes\zh\Condescending-Christian\140,1,ssistant:a: Non-hate,a,0
memes\zh\Condescending-Christian\140,2,on.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\140,3,on.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\140,4,ly.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\140,5,ly.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\149,0,e: Assistant:a: Hate,a,1
memes\zh\Condescending-Christian\149,1,e: Assistant:b: Hate,b,1
memes\zh\Condescending-Christian\149,2,on.Meme: Assistant:a,a,1
memes\zh\Condescending-Christian\149,3,on.Meme: Assistant:b,b,1
memes\zh\Condescending-Christian\149,4,ly.Meme: Assistant:a,a,1
memes\zh\Condescending-Christian\149,5,ly.Meme: Assistant:b,b,1
memes\zh\Condescending-Christian\150,0,ssistant:b: Non-hate,b,0
memes\zh\Condescending-Christian\150,1, b.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\150,2,on.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\150,3,on.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\150,4,ly.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\150,5,ly.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\169,0,e: Assistant:a: Hate,a,1
memes\zh\Condescending-Christian\169,1,e: Assistant:b: Hate,b,1
memes\zh\Condescending-Christian\169,2,on.Meme: Assistant:a,a,1
memes\zh\Condescending-Christian\169,3,on.Meme: Assistant:b,b,1
memes\zh\Condescending-Christian\169,4,ly.Meme: Assistant:a,a,1
memes\zh\Condescending-Christian\169,5,ly.Meme: Assistant:b,b,1
memes\zh\Condescending-Christian\99,0,ssistant:b: Non-hate,b,0
memes\zh\Condescending-Christian\99,1,ssistant:a: Non-hate,a,0
memes\zh\Condescending-Christian\99,2,on.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\99,3,on.Meme: Assistant:a,a,0
memes\zh\Condescending-Christian\99,4,ly.Meme: Assistant:b,b,0
memes\zh\Condescending-Christian\99,5,ly.Meme: Assistant:a,a,0
memes\zh\Confused-Muslim-Girl\216,0,ssistant:b: Non-hate,b,0
memes\zh\Confused-Muslim-Girl\216,1,ssistant:a: Non-hate,a,0
memes\zh\Confused-Muslim-Girl\216,2,on.Meme: Assistant:a,a,1
memes\zh\Confused-Muslim-Girl\216,3,on.Meme: Assistant:a,a,0
memes\zh\Confused-Muslim-Girl\216,4,ly.Meme: Assistant:b,b,0
memes\zh\Confused-Muslim-Girl\216,5,ly.Meme: Assistant:a,a,0
memes\zh\Confused-Muslim-Girl\220,0,ssistant:b: Non-hate,b,0
memes\zh\Confused-Muslim-Girl\220,1,ssistant:a: Non-hate,a,0
memes\zh\Confused-Muslim-Girl\220,2,on.Meme: Assistant:b,b,0
memes\zh\Confused-Muslim-Girl\220,3,on.Meme: Assistant:a,a,0
memes\zh\Confused-Muslim-Girl\220,4,ly.Meme: Assistant:b,b,0
memes\zh\Confused-Muslim-Girl\220,5,ly.Meme: Assistant:a,a,0
memes\zh\Confused-Muslim-Girl\223,0, b.Meme: Assistant:b,b,0
